epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2504.59,1.37281,0.9206,0.0109,0.80966,0.77659,0.82569,0.47877,1.48414,0.94545,0.0182,0.0006536,0.0006536,0.0006536
70,2539.61,1.34095,0.90011,0.01048,0.7854,0.7817,0.82565,0.48436,1.51569,0.90496,0.01858,0.0006338,0.0006338,0.0006338
71,2574.79,1.35394,0.89525,0.01095,0.8135,0.764,0.81836,0.48032,1.50807,0.91132,0.01832,0.000614,0.000614,0.000614
72,2610.77,1.3543,0.88764,0.01062,0.83047,0.77212,0.83365,0.50499,1.45156,0.87121,0.01782,0.0005942,0.0005942,0.0005942
73,2646.34,1.33339,0.88932,0.01056,0.79196,0.78552,0.82535,0.48788,1.47102,0.89822,0.01789,0.0005744,0.0005744,0.0005744
74,2682.15,1.31116,0.87353,0.01026,0.79212,0.76765,0.82185,0.4697,1.50838,0.93761,0.01814,0.0005546,0.0005546,0.0005546
75,2718.43,1.3022,0.86428,0.01025,0.81452,0.77033,0.82435,0.49558,1.47274,0.9137,0.01786,0.0005348,0.0005348,0.0005348
76,2754.67,1.31173,0.85668,0.01041,0.83267,0.77824,0.83576,0.50005,1.47741,0.88182,0.01784,0.000515,0.000515,0.000515
77,2790.35,1.29711,0.84719,0.01022,0.80789,0.78999,0.82928,0.49469,1.48645,0.88301,0.0183,0.0004952,0.0004952,0.0004952
78,2826.31,1.32215,0.87753,0.01036,0.81969,0.78405,0.82871,0.50197,1.46345,0.89482,0.01761,0.0004754,0.0004754,0.0004754
79,2862.48,1.29101,0.84187,0.01,0.81009,0.77659,0.8309,0.50067,1.46149,0.88284,0.01791,0.0004556,0.0004556,0.0004556
80,2898.17,1.28228,0.8333,0.01003,0.82141,0.75961,0.83122,0.50337,1.4666,0.88628,0.01796,0.0004358,0.0004358,0.0004358
81,2933.88,1.30283,0.82312,0.01019,0.81159,0.76676,0.83103,0.49188,1.48386,0.88773,0.01775,0.000416,0.000416,0.000416
82,2969.41,1.27784,0.8374,0.01001,0.80599,0.76676,0.827,0.49137,1.48927,0.9064,0.01795,0.0003962,0.0003962,0.0003962
83,3004.83,1.26907,0.81356,0.00978,0.82445,0.77212,0.83744,0.50174,1.48174,0.86653,0.01783,0.0003764,0.0003764,0.0003764
84,3040.2,1.26711,0.81468,0.00987,0.81981,0.76847,0.82801,0.49743,1.46321,0.91768,0.01767,0.0003566,0.0003566,0.0003566
85,3076.26,1.25979,0.80717,0.0099,0.83766,0.77391,0.84308,0.50669,1.4568,0.89006,0.01757,0.0003368,0.0003368,0.0003368
86,3112.09,1.24387,0.8167,0.00979,0.81357,0.77216,0.83366,0.49733,1.46687,0.90296,0.01772,0.000317,0.000317,0.000317
87,3148.13,1.24447,0.81278,0.00993,0.83768,0.75156,0.82656,0.49701,1.46735,0.89741,0.01766,0.0002972,0.0002972,0.0002972
88,3184.51,1.245,0.80508,0.00962,0.83421,0.75067,0.83229,0.50217,1.46199,0.90379,0.01729,0.0002774,0.0002774,0.0002774
89,3220.8,1.24783,0.80576,0.00957,0.84925,0.75424,0.83284,0.49538,1.47443,0.91268,0.01741,0.0002576,0.0002576,0.0002576
90,3256.69,1.22721,0.79718,0.00959,0.83349,0.77833,0.83586,0.49951,1.46177,0.88977,0.0173,0.0002378,0.0002378,0.0002378
91,3310.69,1.14835,0.59512,0.0112,0.83067,0.76854,0.83164,0.49709,1.47357,0.88751,0.01756,0.000218,0.000218,0.000218
92,3345.13,1.11904,0.5545,0.01052,0.83672,0.76765,0.8363,0.50349,1.46251,0.89573,0.01734,0.0001982,0.0001982,0.0001982
93,3380.01,1.10493,0.54776,0.01025,0.84776,0.76139,0.83547,0.50014,1.46767,0.90152,0.01733,0.0001784,0.0001784,0.0001784
94,3415.7,1.09435,0.55592,0.01044,0.84519,0.76598,0.8338,0.4998,1.46896,0.91457,0.01728,0.0001586,0.0001586,0.0001586
95,3451.78,1.09567,0.54806,0.01029,0.8399,0.76408,0.8336,0.50064,1.47049,0.90904,0.01729,0.0001388,0.0001388,0.0001388
96,3487.75,1.07513,0.53412,0.00987,0.85392,0.76789,0.83954,0.50876,1.45621,0.89608,0.01709,0.000119,0.000119,0.000119
97,3524.15,1.07342,0.53572,0.01016,0.85255,0.76408,0.83852,0.50477,1.46093,0.90633,0.01714,9.92e-05,9.92e-05,9.92e-05
98,3559.83,1.07773,0.54161,0.00997,0.82416,0.78328,0.83698,0.50716,1.45856,0.90956,0.01712,7.94e-05,7.94e-05,7.94e-05
99,3595.58,1.08863,0.54467,0.00998,0.85355,0.76765,0.8408,0.50902,1.45379,0.9013,0.01707,5.96e-05,5.96e-05,5.96e-05
100,3630.51,1.0627,0.52069,0.00976,0.85011,0.76854,0.83885,0.50661,1.457,0.91033,0.01709,3.98e-05,3.98e-05,3.98e-05
